path,size,extension,access_time
C:/Users/Jelena/Downloads\Izveštaj o realizaciji stručne prakse Teodora.pdf,1099183,pdf,2024-08-24T22:30:34.756552
C:/Users/Jelena/Downloads\Izveštaj o realizaciji stručne prakse.docx,710759,docx,2024-12-08T10:37:57.907157
C:/Users/Jelena/Downloads\Jela.zip,6524406,zip,2024-08-28T22:01:07.844375
C:/Users/Jelena/Downloads\Jelena Stojkovic 17997.docx,17532,docx,2024-05-16T22:48:26.033925
C:/Users/Jelena/Downloads\Jelena Stojkovic CV (1).docx,22460,docx,2024-08-29T19:17:17.758513
C:/Users/Jelena/Downloads\Jelena Stojkovic CV (1).pdf,302779,pdf,2023-12-21T22:26:26.110320
C:/Users/Jelena/Downloads\Jelena Stojkovic CV (2).pdf,302779,pdf,2023-06-18T20:04:30.349004
C:/Users/Jelena/Downloads\Jelena Stojkovic CV.docx,26363,docx,2024-08-29T19:17:17.694130
C:/Users/Jelena/Downloads\Jelena Stojkovic CV.pdf,51139,pdf,2023-01-22T14:41:42.619900
C:/Users/Jelena/Downloads\Jelena Stojkovic.pdf,338998,pdf,2023-03-15T12:56:09.167822
C:/Users/Jelena/Downloads\Jelena StojkovicCV.pdf,139571,pdf,2023-12-06T19:59:17.080626
C:/Users/Jelena/Downloads\JELENA-STOJKOVIĆ.pdf,64373,pdf,2023-12-21T22:26:19.844480
C:/Users/Jelena/Downloads\JelenaStojkovicCV.pdf,139081,pdf,2023-12-21T22:26:24.439877
C:/Users/Jelena/Downloads\jun-2-2022 (3).txt,2849,txt,2023-10-12T10:43:42.326199
C:/Users/Jelena/Downloads\KorisnickiProfil.js,5371,js,2023-12-21T22:26:20.705955
C:/Users/Jelena/Downloads\LOC_sample_submission.csv.zip,250847,zip,2024-08-28T22:01:07.920374
C:/Users/Jelena/Downloads\MicrosoftTeams-image.png,272535,png,2024-08-21T20:42:24.003222
C:/Users/Jelena/Downloads\Mina-diplomski-rad-zavrseno.docx,1259343,docx,2024-05-16T22:48:25.931925
C:/Users/Jelena/Downloads\Mina.jpg.pdf,56588,pdf,2023-12-21T22:26:20.815332
C:/Users/Jelena/Downloads\ml_link_cv.zip,358998,zip,2024-08-28T22:01:07.956370
C:/Users/Jelena/Downloads\model poslovnog cilja.docx,17132,docx,2024-12-08T10:37:54.738158
C:/Users/Jelena/Downloads\MyItineris.pdf,576165,pdf,2024-04-28T20:07:34.278333
C:/Users/Jelena/Downloads\MySQL.pdf,1789597,pdf,2022-07-18T16:15:33.945559
C:/Users/Jelena/Downloads\new 1 (1).txt,1819,txt,2023-02-16T16:13:19.720820
C:/Users/Jelena/Downloads\New Text Document (2).txt,2806,txt,2023-12-21T22:26:20.737251
C:/Users/Jelena/Downloads\ntfs_record_en.png,9447,png,2024-12-08T10:32:07.997741
C:/Users/Jelena/Downloads\ob.docx,15015,docx,2024-08-29T19:17:19.531581
C:/Users/Jelena/Downloads\OS - parcijalni + blanketi.rar,25553045,rar,2021-12-07T14:14:18.688812
C:/Users/Jelena/Downloads\OS.zip,464678015,zip,2024-08-28T22:01:07.982380
C:/Users/Jelena/Downloads\PDF-Mina-diplomski-rad-zavrseno.pdf,1333417,pdf,2023-12-21T22:26:23.399508
C:/Users/Jelena/Downloads\Plan iterativnog razvoja-1.pdf,128212,pdf,2024-08-19T22:15:44.476763
C:/Users/Jelena/Downloads\Plan iterativnog razvoja.pdf,128212,pdf,2024-08-19T21:49:23.161691
C:/Users/Jelena/Downloads\PlantPro.pdf,204272,pdf,2024-02-19T22:38:32.990665
C:/Users/Jelena/Downloads\podrska2.txt,3475,txt,2022-11-10T11:28:18.220312
C:/Users/Jelena/Downloads\potvrda_120638_44_24_02_2023.pdf,117986,pdf,2023-06-18T20:04:30.402405
C:/Users/Jelena/Downloads\potvrda_120640_42_24_02_2023.pdf,117792,pdf,2023-12-21T22:26:26.126808
C:/Users/Jelena/Downloads\potvrda_120669_45_24_02_2023.pdf,117861,pdf,2023-06-18T20:04:30.371143
C:/Users/Jelena/Downloads\potvrda_138431_31_21_07_2023.pdf,117770,pdf,2023-07-21T16:00:55.517586
C:/Users/Jelena/Downloads\Proslogodisnji-snimci (1).pdf,791767,pdf,2023-12-03T23:28:39.811419
C:/Users/Jelena/Downloads\Proslogodisnji-snimci.pdf,791767,pdf,2023-12-21T22:26:24.373446
C:/Users/Jelena/Downloads\Rare Crew test SW developer October 2021 (1).docx,899323,docx,2024-05-16T22:48:25.295929
C:/Users/Jelena/Downloads\report-1615223047158.pdf,962809,pdf,2021-12-17T11:01:23.198563
C:/Users/Jelena/Downloads\report-1631612294543.pdf,962434,pdf,2021-09-15T16:27:48.054179
C:/Users/Jelena/Downloads\report-1644880300933.pdf,962434,pdf,2022-03-09T17:15:44.358237
C:/Users/Jelena/Downloads\Resenja.zip,3978306,zip,2024-08-28T22:01:08.019370
C:/Users/Jelena/Downloads\RM-pitanja (1).docx,986399,docx,2024-05-16T22:48:25.454921
C:/Users/Jelena/Downloads\Saglasnost za stručnu praksu na master studijama Teodora Pantic.docx,34940,docx,2024-12-08T10:37:54.991385
C:/Users/Jelena/Downloads\Saglasnost za stručnu praksu na master studijama.docx,37601,docx,2024-12-08T10:37:54.944932
C:/Users/Jelena/Downloads\STL (1).zip,800376,zip,2024-08-28T22:01:08.047372
C:/Users/Jelena/Downloads\STL.zip,800376,zip,2024-08-28T22:01:08.093369
C:/Users/Jelena/Downloads\Stručna praksa - DS (1).pdf,1902488,pdf,2024-08-24T22:47:54.361422
C:/Users/Jelena/Downloads\Stručna praksa - DS.pdf,1902488,pdf,2024-08-24T22:58:22.387503
C:/Users/Jelena/Downloads\Stručna praksa - Template izveštaja.docx,1981484,docx,2024-12-08T10:37:54.688895
C:/Users/Jelena/Downloads\SVEEEEE-OS.docx,47611,docx,2024-01-29T18:48:00.746897
C:/Users/Jelena/Downloads\Syrmia.docx,14956,docx,2024-05-16T22:48:25.368922
C:/Users/Jelena/Downloads\t.png,318269,png,2024-08-21T20:42:04.795488
C:/Users/Jelena/Downloads\Teodora  Pantic CV (1).pdf,193193,pdf,2023-12-21T22:26:25.082578
C:/Users/Jelena/Downloads\teorija.docx,122827,docx,2024-05-16T22:48:25.174929
C:/Users/Jelena/Downloads\The-structure-of-FAT-file-system.png,58929,png,2024-12-08T10:29:13.502630
C:/Users/Jelena/Downloads\TRIGERI I SEQ.txt,819,txt,2022-05-18T20:40:06.163663
C:/Users/Jelena/Downloads\uapcS.png,46491,png,2024-12-08T15:18:35.969782
C:/Users/Jelena/Downloads\unnamed.png,27639,png,2024-12-08T12:30:04.460591
C:/Users/Jelena/Downloads\Untitled-resume-1.pdf,43716,pdf,2022-08-12T15:33:43.457783
C:/Users/Jelena/Downloads\Untitled-resume.pdf,43881,pdf,2023-06-24T18:44:52.402406
C:/Users/Jelena/Downloads\Veriest (1).rar,132927,rar,2024-02-04T22:56:17.443934
C:/Users/Jelena/Downloads\Veriest.rar,132927,rar,2023-12-03T23:40:57.784229
C:/Users/Jelena/Downloads\VI - P2 (2).docx,434550,docx,2024-08-29T19:17:18.424712
C:/Users/Jelena/Downloads\VI - P2.docx,434550,docx,2024-08-29T19:17:18.485733
C:/Users/Jelena/Downloads\VI2 - 17997i17859.docx,174757,docx,2024-08-29T19:17:18.004506
C:/Users/Jelena/Downloads\Virtual Health Assistant - plan iterativnog razvoja-1.pdf,47681,pdf,2024-08-21T20:47:21.258495
C:/Users/Jelena/Downloads\Virtual Health Assistant - plan iterativnog razvoja.pdf,47681,pdf,2024-08-21T20:47:24.264707
C:/Users/Jelena/Downloads\VroomNjujork (1).rar,1559050,rar,2024-02-04T22:59:27.054049
C:/Users/Jelena/Downloads\VroomNjujork.rar,1559050,rar,2023-12-03T23:40:31.884321
C:/Users/Jelena/Downloads\wetransfer_smarthome-demo_2024-01-30_1129.zip,1683777,zip,2024-08-28T22:01:08.145376
C:/Users/Jelena/Downloads\zad-140.txt,881,txt,2022-03-03T20:14:25.889898
C:/Users/Jelena/Downloads\Zadaci-ispit.zip,353331801,zip,2024-08-28T22:04:18.497750
C:/Users/Jelena/Downloads\Zbirka-aip.pdf,25196966,pdf,2022-07-18T16:15:33.634797
C:/Users/Jelena/Downloads\[EBook] Aurélie Vache- Understanding Kubernetes in a visual way.pdf,44302884,pdf,2023-12-07T10:23:29.998492
C:/Users/Jelena/Downloads\[English (auto-generated)] Docker Crash Course for Absolute Beginners [NEW] [DownSub.com].txt,58208,txt,2024-02-16T12:31:02.128345
C:/Users/Jelena/Downloads\[English (United States)] Docker Tutorial for Beginners [FULL COURSE in 3 Hours] [DownSub.com] (1).txt,133159,txt,2024-02-16T12:31:02.086951
C:/Users/Jelena/Downloads\[English (United States)] Docker Tutorial for Beginners [FULL COURSE in 3 Hours] [DownSub.com].txt,133159,txt,2024-02-16T12:31:02.872082
